corpus;text
142;the fact that amniotic cells from fetuses at high risk for the cf gene as well as cells derived from heterozygous individuals produce the ciliary inhibitor suggests a close relation to the genetic defect and necessitates further identification and characterization of the responsible molecule
143;a comprehensive study of trna and s and s rrna methylation in human fibroblasts is presented cells from normal volunteers and patients with cystic fibrosis cf were examined during exponential growth by incubation with l methyl c methionine and h uridine the ratio of c to h counts per minute in isolated rna serves as a measure of the extent of methylation and was found to be similar in normal and cf fibroblasts for trna s rrna and s rrna hydrolyzed samples of c methyl labeled rna species were analyzed by two dimensional chromatography and autoradiography the methylated base and nucleoside compositions of trna and rrna agree well with data for hela cells and other eurkaryote cells such as those from yeast mouse and chicken rna methylation patterns in cf fibroblasts were qualitatively and quantitatively similar to those observed in normal cells for s s and s rna there is no evidence that rna species from patients with cystic fibrosis are deficient in any methylated components methylation of rna by tissue cultured cells from cystic fibrosis is qualitatively and quantitatively normal and will not prove to be a useful marker for identification of carriers of cystic fibrosis
144;to assess small airway disease in cystic fibrosis cf patients with minimal pulmonary involvement maximal expiratory flow volume mefv curves were obtained while the patients were breathing first air and then an helium oxygen gas mixture fifteen cf patients and controls were studied flow rates at and vital capacity vc were calculated from the air and helium mixture mefv curves and were compared to give flow ratios at these lung volumes at vc the helium air flow ratios were similar in cf patients and normal subjects at vc the flow ratio was significantly lower p in the cf patients the air and helium mefv curves were superimposed and the point where the curves crossed point of identical flow pif was determined and expressed in vc for the cf patients the mean pif was and for the controls p nine of the cf patients had pif values greater than standard deviations sd from the normal mean none of the following tests were abnormal in more than three patients fev fvc mmef rv tlc vmax tlc tlc sec and vmax vc tlc sec arterial oxygen tensions were below mm hg in four patients closing volumes by the helium bolus technique were normal in all patients determination of the pif appears to be a simple noninvasive and sensitive test for the detection of early small airway involvement
145;intellectual performance sensory motor abilities and social adaptation were studied in subjects to years of age who had severe malnutrition in infancy a control group consisted of siblings the mean iq of parents ws s d plus or minus socioeconomic deprivation was not present the results of the merrill palmer test for the malnourished group and the controls revealed significant differences in favor of the controls no differences were found in the older population for whom the wisc and wais were used the lincoln oseretsky test of motor development and the vineland scale of social maturity showed no significant differences these results are consistent with the hypothesis that malnutrition in infancy can affect intellectual development in the first five years of life beyond this age given adequate socioeconomic support no significant differences were observed
146;the management of cystic fibrosis continues to present a constant therapeutic problem to both pediatrician and internist in these hospitalized patients the use of a butterfly scalp vein needle attached to a plastic tubing sealed by a rubber cap heparin lock offers many advantages this report relates our experience with this method the use of an indwelling intravenous infusion set for the home administration of potent antibiotics has been quite successful in the therapy of the chronic bronchopulmonary infection associated with cystic fibrosis
147;the authors of the recent article which failed to show a significant difference between sweat calcium concentrations of cf patients and control subjects suggest that the findings refute our hyperpermeability hypothesis they found sweat ca of to meq liter in control subjects and to meq liter in cf patients with these tremendous ranges many more subjects would be required to prove or disprove a difference a difference undetectable in a moderate number of subjects is probably not of pathophysiologic significance if the ca really varies unpredictably sweat ca however is generally believed to vary with the rate of sweating being much higher at lower rates and measurements made at comparable rates might well show significant differences the authors did attempt to control rate but in a very inappropriate manner they measured no constant rate but took the average rate during the minutes immediately after iontophoresis this gives little information concerning the rate at which the sweat was actually produced
148;the diagnosis management and prognosis of infants with cystic fibrosis cf and severe respiratory disease were reviewed for the period to the clinical course of these infants was characterized by a bronchiolitis like syndrome with failure to thrive and malnutrition arterial blood gases demonstrated marked hypoxemia mean pao mm hg tracheal cultures showed a predominance of gram negative microorganisms with pseudomonas aeruginosa klebsiella pneumoniae and escherichia coli predominating corticosteroids were used in all patients despite vigorous therapy including antibiotics there was a mortality a delay in the diagnosis of cf from the onset if respiratory symptoms with a mean of six weeks was considered an important factor affecting survival this data supports the need for developing a reliable screen test for cf at birth
149;liver spleen scans on children were reviewed retrospectively with regard to accuracy and yield of examination the scan predicted abnormality correctly of the time and normality correctly of the time pitfalls in interpretation include the nonspecificity of abnormalities present on the scan confusion of extrinsic with intrinsic defects and normal anatomical variations with pathology the technetium m sulfur colloid scan was found to be most helpful in diagnosing splenic abnormalities in working up abdominal masses and in evaluating tumor patients with a baseline scan it was found least useful in patients with fever of unknown origin abdominal pain diffuse liver disease and most inflammatory conditions liver abscesses were not found in febrile otherwise healthy children the iodine rose bengal liver scan was found to be useful to differentiate potentially curable lesions e g choledochal cysts from those not surgically treatable
150;amylase isoenzyme patterns were evaluated in serum urine and duodenal fluid from patients with cystic fibrosis cf and normal subjects two thirds of the cf patients with absent pancreatic enzymes lacked a serum pancreatic isoamylase band while the remainder had a markedly diminished pancreatic band when compared to the salivary isoamylase in normal sera the pancreatic band is equal to or greater than the salivary band in all patients with absent enzymes the diagnosis of abnormal pancreatic function could have been made by evaluation of serum isoamylase patterns thereby avoiding duodenal intubation or collection of hour stools for proteolytic enzyme activities the patients with normal pancreatic enzyme activities had normal serum zymograms no cf patient had a low total serum amylase concentration total duodenal fluid amylase levels may be misleading in the evaluation of pancreatic function since the amylase may be of salivary origin the advantages of this isoamylase method include simplicity and noninvasiveness requiring only a small blood sample specificity for pancreatic function and independence of pancreatic enzyme medication
151;gastric mucosal biopsies from eight new untreated patients with cystic fibrosis cf and two normal subjects were studied by quantitative techniques of electron microscopy em to determine whether presecreted gastric mucus was more compact viscid than normal analysis of variance techniques show no differences between means of all groups studied these observations suggest that mucus may not be viscid prior to secretion electron microscopy of gastric mucus does not appear to be of diagnostic value in cf
152;gentamicin is a broad spectrum bactericidal aminoglycoside antibiotic in its tenth year of use in the u k league tables of antibiotics ranked by disc sensitivity tests against urinary tract pathogens and staph aureus confirm its remarkable effectiveness in bacteriodes sp and some streptococci are the only major omissions from its spectrum mic of sensitive strains is usually less than or equal to microg ml although pseudomonas may require greater than or equal to microg ml the therapeutic range aimed for is microg ml in serum and peak levels are measured hr after intramuscular and min after intravenous injection most workers regard a level of microg ml as potentially toxic and try to avoid exceeding it
153;the aim of a therapeutic diet is to provide a nutritionally adequate diet from a variety of natural and or specially prepared artificial food substitutes for the treatment of specific clinical disorders the role of the dietitian is to work as a member of the medical team paediatric dietetics require rather more detailed advice and help for the parents particularly when the diet involves calculation or restriction of specific nutrients dietary considerations in obesity diabetes mellitus coeliac disease cystic fibrosis carbohydrate intolerance galactosaemia and phenylketonuria are discussed
154;this paper analyzes the cell cycle of cystic fibrosis derived fibroblasts and statistically demonstrates their failure to support a normal population doubling time in vitro and indicates that this is due largely to a failure of the cystic fibrosis derived cells to enter the cell cycle in normal numbers we have no explanation for the significant difference in the behavior of these cells from patients with cystic fibrosis vis a vis either normal or disease control fibroblasts save to conclude that it proceeds from an intrinsic property of the cells themselves
155;twenty five children aged months to years were studied to determine the usefulness of computer assisted ventilation perfusion v p scanning in analysis of regional pulmonary function in cystic fibrosis ventilation and perfusion scintiphotographs were compared with the patients radiographs regional fractional exchanges of air and relative regional v p ratios were obtained whole lung air exchange was significantly correlated with standard pulmonary function tests and radiograph scores ventilation perfusion ratio gradients were reversed in pats with predominantly upper zone disease and regional v p ratios were uneven in distribution quantitative assessment of regional ventilation and perfusion is a useful technique for assessing severity of pulmonary disease in children with cystic fibrosis
156;the endoscopic pancreaticographic findings in proved cases of pancreatitis are analyzed pathologic ductograms were demonstrated in approximately significant information was obtained in many cases allowing both proper diagnosis of the primary disease process and complications thereof because of the latter the procedure has proved to be quite helpful in isolating those patients who could benefit from surgery
157;this section considers the significance of vitamin e tocopherol deficiency in a variety of disease states in which the effects of the vitamin lack are unclear causes of vitamin e deficiency include dietary lack and intestinal malabsorption a case history involving cystic fibrosis is examined
158;albumin in meconium was quantitated by means of a single radial immunodiffusion technique which is described in detail the method shows good precision and accuracy for this material when certain conditions associated with collection preparation and analysis are observed the method can discriminate between healthy newborns and newborns with cystic fibrosis
159;tobramycin treatment of chronic pulmonary infections caused by pseudomonas aeruginosa in children with cystic fibrosis was evaluated initially the patients received the recommended dose of mg m hours the dose was then increased to mg m hours approximately mg kg hours this higher dosage was administered intramuscularly to patients eight of these received additional therapy with an aerosol containing tobramycin with this therapy it was possible to eradicate ps aeruginosa from the respiratory tract in of the patients after discontinuing therapy ps aeruginosa re occurred in all patients within one month all patients showed a clinical improvement in relation to therapy no toxic or allergic side effects were observed
160;thirty five patients with cystic fibrosis aged months to years have been investigated with regard to respiratory symptoms respiratory tract pathogens serum immunoglobulins and serum precipitins haemophilus influenzae was the commonest pathogen being supplanted in advanced disease by pseudomonas aeruginosa the patients who had no respiratory infection had levels of igg significantly lower than normal children of comparable ages in children with severe respiratory infection the immunoglobulins were raised and precipitins to the predominant respiratory organism were present these findings differ from the prevalent view that patients with cystic fibrosis have a normal response to infection and that the common infecting organism is staphylococcus aureus
161;to compare the in vitro susceptibility of mucoid and nonmucoid pseudomonas aeruginosa to gentamicin isolates of both mucoid and nonmucoid p aeruginosa were cultured from throat swab and sputum specimens from patients with diagnosed cystic fibrosis mucoid forms of p aeruginosa from throat swab cultures were all susceptible to gentamicin whereas only of the mucoid strains from sputum cultures were susceptible nonmucoid strains from throat swab and sputum cultures were and susceptible respectively since the differences in susceptibility between the four groups of organisms were not significant p it was concluded that these data show no real differences in susceptibility to gentamicin between the mucoid and nonmucoid strains
162;the purpose of the present work was to study the type of inheritance involved in mucoviscidosis analysis of the genetic relations in mucoviscidosis performed on families bears witness to a monomeric autosomal mechanism of transmission of the character in contrast to other recessive diseases parental consanguinity plays a secondary role in mucoviscidosis which apparently is explained by the wide distribution of the mucoviscidosis gene among the population the observations described may be utilized in medicogenetic consultations given to members of those families where there are children suffering from mucoviscidosis
163;it has been suggested that the development of goiter and hypothyroidism in patients receiving chronic iodide therapy indicates that they have underlying thyroid disease in dolan and gibson in a retrospective study reviewed the records of children with cystic fibrosis receiving chronic expectorant therapy with iodide and reported that approximately percent had goiter and percent suggestive clinical findings of hypothyroidism this study together with the fact that the thyroid like lung and pancreas is of endodermal origin raised the possibility that patients with cystic fibrosis might have an underlying defect in thyroid function as thyroid function in patients with cystic fibrosis has not been evaluated in a systematic fashion the present study was undertaken in it we have evaluated basal thyroid function in a large group of patients with cystic fibrosis and have in addition observed the effects of chronic iodide administration the present study strongly suggests that there often occurs in patients with cystic fibrosis some derangement in thyroid hormone economy the frequency with which iodides increased serum thyrotropin decreased serum thyroxine concentration and induced goiter with or without hypothyroidism in patients with cystic fibrosis points strongly to the presence of an intrinsic abnormality of the thyroid in this disease the nature of such abnormality remains unclear
164;this preliminary clinical study is of the ability of a multivalent heat killed whole cell gram negative bacilli vaccine to be tolerated and to evoke an antibody response in groups of patients who have a manifest need for increased resistance to gram negative bacilli three groups of patients were studied burn patients seven small children with cystic fibrosis and patients who were about to undergo coronary vein grafts the results of vaccination were different in each of the three groups of patients that were vaccinated
165;the author has attempted to evaluate some of the methodology currently in use or suggested for the routine determination of vitamin a in blood and tissues special consideration is given to extraneous factors which can cause erroneous results in fluorometric analyses a review of the older and current literature on the distribution of vitamin a in tissues is presented special consideration is given to the uptake of vitamin a by the liver and its storage in hepatocytes and kupffer s cell and in subcellular organelles data on the concentration of vitamin a in the liver of victims of accidental death and the effect of diseases of several etiologies are presented the mechanism by which liver stores of retinyl esters are mobilized and released to the plasma remains obscure considerable information has been gained recently on the mechanism by which retinol is transported in blood studies leading to the isolation and characterization of retinol transport proteins are summarized the metabolism of retinol binding protein in health and in disease especially in cystic fibrosis is discussed finally some factors of importance to the interpretation of plasma levels in terms of vitamin a are reviewed special attention is given to the effect on plasma levels of retinol and the retinol transport proteins of periods of rapid growth correlations with age and the influence of dietary adequacy on the distribution of plasma levels of the vitamin
166;the pulmonary macrophages collected with bronchial mucus from patients with cystic fibrosis and other chronic lung diseases were investigated histochemically for acid phosphatase beta glucuronidase and beta glucosaminidase activity and also for mucopolysaccharide content in macrophages from patients with cystic fibrosis decreased beta glucuronidase activity was observed together with large cytoplasmic vacuoles suggesting storage of partially digested material it thus seems very likely that apart from the increased synthesis of mucopolysaccharides described in cystic fibrosis by several authors the degradation of mucosubstances produced can be impaired
167;hl a frequencies of patients with cystic fibrosis and of unrelated controls were compared no statistically significant difference of hl a frequencies could be observed for both groups a slightly increased hl a frequency is considered a chance phenomenon in accordance with a previously demonstrated lacking association of the abh blood group substances no correlation with certain hl a antigens was demonstrable
169;in five patients with cystic fibrosis of the pancreas the mucous glandular system of the conjunctiva was studied as changes if any in the conjunctival goblet cells might be applicable as a diagnostic test in questionable cases a whole mount technique was used specially developed for studying conjunctival goblet cells in all five cases the qualitative as well as quantitative goblet cell findings were in accordance with a previously reported normal material in particular there were no signs of stagnated secretion
170;a study has been made of plasma tocopherol concentrations in normal children and in children with intestinal abnormalities a positive correlation between plasma tocopherol and age is shown between the ages of months and years most patients with cystic fibrosis or coeliac disease were found to have markedly reduced plasma tocopherol concentrations in comparison with the normal children of similar age
171;five glycosidases alpha fucosidase alpha galactosidase alpha glucosidase beta mannosidase and n acetyl alpha glucosaminidase were studied in human skin fibroblast cultures the ph dependency kinetic properties of the enzymes and results of isoelectric focusing and ion exchange chromatography are presented techniques suitable for diagnosing inborn lysosomal diseases in skin fibroblast cultures are defined
172;the electrical potential difference pd across the rectal wall was measured in patients with cystic fibrosis of pancreas cfp and in healthy subjects the pds obtained in normal children were identical to those previously obtained in normal adults a significantly greater dispersion of the values was observed in cfp when the patients were divided into groups according to metachromasia in fibroblast cultures the mean pd was increased only in the ametachromatic group true enough this observation suggests a difference between various forms of cfp distinguished by metachromasia and thus is a further indication of the heterogeneity of the disease the greater abnormalities in metachromasia negative patients may however be due solely to the fact that these patients are more severely affected by the disease the urinary excretion of tetrahydroaldosterone in patients was within the ranges obtained in controls which excludes the possibility of secondary hyperaldosteronism as the source of increased pd no evidence was provided in favour of a basic defect in the intestinal transport of na or cl minus but k concentrations in faecal fluids of patients were significantly lower than in controls the equilibrium concentration of k could be accounted for by simple passive diffusion suggesting that the epithelium behaved inertly with respect to this ion in cfp
173;by measuring potential difference between rectal mucosa and perianal skin using a reference electrode placed on the forearm we demonstrated an altered potential difference in cystic children compared with control adults and normal children we suggested this might be due to an alteration in the rectal mucosa potential or altered skin potential or both in cystic fibrosis we measured skin and rectal charges directly by connecting our reference electrode to the blood stream through an intravenous line using this technique we showed that the cystic fibrosis patients c f have an abnormal perianal skin potential difference compared with readings we obtained in normal children there was little difference in the transmural rectal potential difference between our cystic patients and previously reported values in normal adults thus the recent paper confirms our findings of normal polarity of the rectal mucosa surface and the increased skin polarisation in cystic fibrosis
174;fifty cystic fibrosis cf patients of whom had multilobular cirrhosis were observed regularly for a period of years and various liver function tests indicating cytolysis cholestasis and cellular insufficiency were performed immunoglobulin and prothrombin were assayed in patients with cirrhosis the tests were generally abnormal two distinct biochemical patterns of cirrhosis were distinguished one clearly cholestatic and the other of a more cellular type the distinction was made on the basis of the iga transferrin ratio and of gamma glutamyl transpeptidase levels in the non cirrhotic patients a temporary increase of cytolysis and cholestasis was observed in of the cases
175;a clinical study of the albumin content in meconium was performed on two categories of newborn infants a screening series of infants and a high risk group for cystic fibrosis cf of infants a single radial immunodiffusion technique and test strips were used three cf infants were detected in the screening series and in the high risk group the diagnostic accuracy for cf was fairly good the specificity was for the immunodiffusion technique and for test strips a high concentration of albumin in meconium was found not only in cf but also in preterm babies and infants with gastrointestinal disturbances such as atresias malaena neonatorum and malabsorption syndromes the sensitivity was for the immunodiffusion technique and for the test strip false negative results were probably due to proteolytic activity and might be avoided if the samples are stored at a low temperature before analysis cf screening of all meconiums by the use of test strips followed by analysis of positive tests by the immunodiffusion technique is suggested
176;the simultaneously occurring mucoid m and non mucoid nm variants of pseudomonas aeruginosa frequently observed in cultures from the respiratory tract of chronically infected cystic fibrosis patients have been studied m cultures in vitro were unstable and easily dissociated nm colonies in a large proportion of the cases m and nm variants occurring simultaneously in cultures from one and the same clinical specimen were of the same pyocine type phage type and serogroup in some remaining cases there were small differences between the m and nm variants such that identity between the variants from one and the same specimen was possible although not definite the nm dissociants from m strains were of the same type as the m variant the possible role of cross infection and the interaction of bacteria and host response factors continuously tending to select the unstable m variant in vivo are discussed
177;the relative prevalence of mucoid strains compared with non mucoid strains of pseudomonas aeruginosa has been investigated in all routine bacteriological specimens received in a department of clinical microbiology during pseudomonas aeruginosa was isolated from of the specimens per cent representing patients with cystic fibrosis isolates and patients with other diseases isolates the relative prevalence of mucoid strains was significantly higher in specimens from patients with cystic fibrosis per cent than in specimens from patients with other diseases per cent considering patients without cystic fibrosis the relative prevalence of mucoid strains was low in specimens from all anatomical regions and no special preference of these strains for the respiratory tract could be demonstrated in these patients in contrast to the situation in patients with cystic fibrosis alternation between mucoid strains and non mucoid strains in subsequent specimens was observed in of the patients
178;the occurrence of antibodies against antigens prepared from strains representing o groups of pseudomonas aeruginosa and against a polyvalent ps aeruginosa antigen st ag has been investigated in sera from patients by means of fused rocket immunoelectrophoresis with intermediate gel it was found that the humoral immune response against ps aeruginosa resulting in precipitating antibodies will be detected by st ag as well as by any other of the antigen samples investigated six of the sera contained group specific antibodies which were revealed by only one of the antigen samples used and not by st ag these six sera were further studied by means of various quantitative immunoelectrophoretic methods using st ag as well as antigens prepared from the infecting ps aeruginosa strain in the patient concerned in all six sera only one extra precipitin could be detected using antigens prepared from the homologous strain instead of st ag this extra precipitin corresponded presumably to group specific o antigens not included in st ag in sera from patients these group specific antibodies were always accompanied by antibodies against antigens common to all strains of ps aeruginosa
179;during the recent decade isolates of staphylococcus aureus from patients with cystic fibrosis have been tested for antibiotic sensitivity and half of the isolates have been phage typed all the patients were followed in one clinic and the policy of antibiotic treatment was consistent during this period the results show a dynamic situation where epidemic phage types during recent years have been gradually replaced by other types and during the same period the prevalence of strains resistant to more than one antibiotic decreased multiresistant strains including strains resistant to methicillin were infrequent in these patients from per cent of the patients the same strains were repeatedly isolated for more than year despite an apparently successful chemotherapy recently isolated strains were found to produce cellbound as well as extracellular protein a ninety one per cent of the strains produced extracellular lipase and only per cent were resistant to mercury chloride eighty one per cent of the patients produced precipitating antibodies against s aureus as judged by crossed immunoelectrophoresis the investigated properties of s aureus were not significantly correlated with the occurrence of precipitating antibodies against these bacteria the possible significance of protein a in the pathology of the respiratory tract infection is discussed
180;during recent years more and more data have been accumulated implicating early malnutrition in subsequent small stature and behavioral abnormalities these studies can be divided into two large categories one dealing with cellular and biochemical changes at a tissue level and one dealing with functional changes within the nervous system as measured by changes in various modes of behavior this chapter will attempt to review the studies in both of these broad categories which have led to the present concept that malnutrition during the growing period will permanently retard growth resulting in a stunted individual and markedly retard psychologic development resulting in an individual with permanently altered behaviors we shall first consider the normal cellular and biochemical development of the central nervous system second we shall examine how malnutrition alters these cellular and biochemical processes and finally we shall review the evidence that implicates early malnutrition with alterations in later behavior and ability to learn
181;assessment of nutritional status of patients with cystic fibrosis of the pancreas cfp showed that poor growth was associated with low concentrations of albumin urea nitrogen and cholesterol in serum and with elevated white blood cell wbc counts patients with cfp maintained weight approximately standard deviation below the mean until years after which there was a progressive decline in growth rate compared to normal a complete dietary supplement consisting of a beef serum hydrolysate a glucose polymer and medium chain triglycerides was given to patients for a year patients who received the diet showed significant gains in weight significant increase in clinical score significant increase in serum albumin level and a significant drop in the wbc count compared to control patients who did not receive the supplement
182;a patient with cystic fibrosis was found to have pneumatosis coli associted with rectal prolapse in cystic fibrosis there are several factors predisposing to pneumatosis yet it is rarely reported symptoms are nonspecific and the diagnosis should be considered in patients with cystic fibrosis or other chronic lung disease and vague abdominal complaints
183;three patients with cystic fibrosis were noted to have swelling of knee and ankle joints during exacerbation of their lung disease synovial fluid was analyzed in one patient and the synovium underwent biopsy in another these studies excluded other causes of arthritis but did not contribute any new information on the nature of secondary hypertrophic osteoarthropathy radiological examination of long bones confirmed the diagnosis of hypertrophic osteoarthropathy in all three patients since many patients with cystic fibrosis survive longer more instances of hypertrophic osteoarthropathy are expected in the future
184;sixty one patients with cystic fibrosis were studied to determine the relationship between degree of compliance with taking antibiotics and severity of the disease the compliance rate was high in these patients suggesting that perception of the severity of the disease and the potential consequences of discontinuing medication is a principal factor
185;duke medical center and the national institutes of health have analyzed the maximum achieved heights and weights of persons with cf over years old both parameters were markedly skewed toward the lower percentile bands no significant differences were found among patients whose condition was diagnosed early in life in those with more severe pulmonary or gastrointestinal impairment or among those in whom pancreatic enzyme and or nutritional supplementation had been employed nutritional supplementation has yet to be proven a significant long term influence on the morbidity or mortality of cf lober reported data on persons with cystic fibrosis cf over years of age while our population of individuals contained only three who were over years old the median age of death in patients with cf is years it is not realistic to compare patients who have survived to adulthood with a younger group he did not state the type of nutritional supplementation that was of no significance among his patients our experience with nutritional supplements other than the amino acid glucose polymer mixture has been equally poor our data on growth rates were similar to those of lober in that both heights and weights were skewed toward the lower end and height was less affected than weight increased rates of linear growth were observed in eight of children under years of age at the time the dietary supplement was begun patients who continue to take the nutritional supplement have not shown further deterioration in pulmonary status
186;intraluminal bowel obstruction secondary to inspissated feces is a known complication of cystic fibrosis when seen in the older child it is termed meconium ileus equivalent we studied a case in which nonsurgical resolution of the obstruction was obtained with n acetylcysteine enemas and pancreatic replacement enzymes given orally and by enema the pathogenesis of this disorder and the basis for the treatment are described recognition of this complication and familiarity with its medical management are important in caring for the older child with cystic fibrosis
187;the respiratory flora of patients with cystic fibrosis cf frequently includes aspergillus and of their serum samples have been observed to contain precipitating antibody to this fungus serum from cf patients healthy persons and three patients with cf and allergic bronchopulmonary aspergillosis was studied using a quantitative assay for antibody to a fumigatus although cf patients had significantly higher levels of aspergillus antibody some antibody was found in all serum samples from normal individuals binding was immunologically specific for a fumigatus serum ige levels and dermal reactivity to aspergillus were similar in both cf and normal subjects increased levels of aspergillus antibody in cf patients probably reflect pulmonary colonization which only rarely causes infection or sensitization
188;a heptavalent lipopolysaccharide pseudomonas vaccine was evaluated in patients with acute leukemia and patients with cystic fibrosis during an month interval at the clinical center of the national institutes of health of the patients had an excellent serum hemagglutinating ha antibody response to immunization in comparison to the patients with cystic fibrosis the patients with leukemia had a smaller ha antibody response which lasted a shorter period of time and also i experienced greater toxicity from the vaccine the mixing of adrenal corticosteroids with vaccine greatly decreased side reactions among the patients with leukemia without significantly inhibiting antibody production previous antineoplastic chemotherapy had little influence on antibody response in patients with leukemia with the exception of methortrexate vaccinated patients with leukemia had pseudomonas infection of bacterial or fungal infections whereas pseudomonas infections of bacterial or fungal infections occurred in a control group of patients with acute leukemia of the patients with cystic fibrosis had a pseudomonas infection after vaccination
189;a nurse and mother describes the clinical effects of cystic fibrosis on patients and the long term demands the disease places on her own and other children and families diagnosis is mainly accomplished with an analysis of sweat for sodium and chloride ions cf is transmitted as a mendelian recessive trait it is a generalized dysfunction of the endocrine glands the abnormalities seemingly unrelated appear as loss of electrolytes through the sweat and salivary glands and as unusually thick sticky mucus secretions that obstruct and damage the patient s pancreas lungs gallbladder intestines and liver the objective of pulmonary therapy are to decrease viscosity of the pulmonary secretions and to improve and maintain pulmonary hygiene financial cost is only one of many burdens on the family
190;the characteristic increased salinity of sweat and other abnormalities of exocrine secretions in patients with cystic fibrosis cf suggest the possibility of a disturbed functioning of the plasma membrane in this disease several lines of evidence indicate that fibroblasts express the presence of the cf genotype therefore these cells were used in an in vitro study directed at determining whether the manifestations of cf might be related to an alteration of one or more of the protein components of the plasma membrane in order to evaluate the synthesis of these components growing fibrosblasts from patients with cf and normal subjects were briefly exposed to either c or h leucine their plasma membranes were then isolated and subjected to analysis in a nondetergent acrylamide gel system coelectrophoresis of differentially labeled preparations revealed the absence of a detectable abnormality in the synthetic rates of any of the more than resolved protein species
191;assays of carboxypeptidase b like activity and c in serum from patients with cystic fibrosis and appropriate control subjects failed to demonstrate a deficiency of carboxypeptidase b like activity or a consistent increase in c as was suggested by conover and associates differences between men and women with cystic fibrosis were apparent in that women with cystic fibrosis had higher concentrations of both serum carboxypeptidase b like activity and c than either men with cystic fibrosis or control subjects
192;pulmonary function in children with cystic fibrosis was assessed by the arterial alveolar pn difference adjusted to sublingual temperature the resulting values were compared with the alveolar arterial po difference arterial pco and standard measurements of lung volume flow and diffusing capacity the arterial alveolar pn difference was nearly one half of the po difference both early in the disease and at a more advanced stage analysis taking into account the o dissociation curve and the possibility that alveolar temperature is higher than sublingual temperature suggested that all of the po difference could be explained in terms of ventilation perfusion imbalance in gas filled units of the lung reduction of fractional co uptake with increasing pn difference suggested that the decrease in diffusing capacity in cystic fibrosis may be explained by ventilation perfusion inequality a significant relationship between arterial pco and the pn difference supported the view that ventilation perfusion inequality is the cause of co retention when present the pn and po differences were abnormal before the standard tests of lung volume and flow but in general the correlation was excellent because the pn difference was not superior to the po difference in detecting early disease and because the technical problems in its measurement are considerable it is not recommended as a routine measurement
193;the results of open thoractomy and pleurectomy or pleural abrasion for episodes of pneumothorax in patients with cystic fibrosis were compared with the results of observation closed thoracostomy and closed thoracostomy with sclerosing agents open thoracotomy had the advantage of insuring prompt resolution of the pneumothorax a small incision minimized postoperative morbidity the average hospital stay was days after open thoracotomy and days after closed thoracostomy with or without sclerosing agents complications of all treatments were infrequent a limited symptomatic recurrence was observed in of pneumothoraces successfully treated with open thoracotomy recurrence also occurred in of treated with observation of treated with closed thoracostomy and of treated with closed thoracostomy and sclerosing agents a loss of vital capacity was usually noted to months after resolution regardless of treatment forty per cent of patients in both operative and nonoperative groups survived years in our experience open thoracotomy can be used safely for treatment of unresolved or recurrent pneumothorax and warrants further evaluation as a primary therapy for pneumothorax in patients with cystic fibrosis
194;normal children as well as those with asthma and cystic fibrosis were studied to assess the contribution of lung zones emptying at different rates to the curvilinearity of the maximal expiratory flow volume curve lung volumes maximal expiratory flow volume curves breathing air and then breathing a helium oxygen mixture and single breath nitrogen washouts were measured forced expiratory maneuvers from lung volumes near functional residual capacity were performed to produce transients of flow exceeding maximal flow defined by the full flow volume curve normal children and those with asthma and mild cystic fibrosis had small or no transients those with severe cystic fibrosis had large transients as well as increased phase i on the nitrogen washout curves these large transients were associated with increased curvilinearity of the maximal expiratory flow volume curve and smaller than normal flow response breathing helium in severe cystic fibrosis the large transients suggest sequential emptying of fast and slow spaces which influences the shape of the maximal expiratory flow volume curve the fast space could be due to compression of an enlarged anatomic dead space any time constant inequality between parenchymal units present in asthma and mild cystic fibrosis does not appear to contribute significantly to the shape of the maximal expiratory flow volume curve
195;tracheal mucous velocity was measured by observing the motion of teflon discs across the tracheal mucosa through a fiberoptic bronchoscope the average rate of movement in adult patients with cystic fibrosis was mm per min plus or minus sd compared with mm per min plus or minus in normal subjects of the same age p less than this failure of mucociliary transport may play a role in the pathogenesis of the pulmonary disease in cystic fibrosis administration of a beta adrenergic agent terbutaline increased the average mucous velocity in the patients with cystic fibrosis to mm per min plus or minus sd p less than but not in control subjects this observation has potential therapeutic significance
196;mucociliary clearance data obtained by our group in relatively healthy cystic fibrosis subjects was not affected by cough the majority of subjects mentioned in the original article did not cough during the study and indeed were chosen because they were relatively healthy at the time it was possible to study them over fairly long periods without interference from cough and thus the relatively normal clearance times demonstrated were presumably due to mucociliary transport reference was made to nasal mucociliary clearance studies in patients with cystic fibrosis and normal subjects which indicated that clearance was similar in both groups until mild inflammation of the nasal mucosa was produced we would like to point out that the work was performed in our laboratory since no reference was given in the discussion
197;the large number of congenital metabolic disorders makes a complete discussion of the biochemical problems hazards pharmacologic implications and anesthetic recommendations for each impossible this review is confined to discussion of certain aspects of several genetically acquired diseases of metabolism which the anaesthesiologist may be called upon to manage in the pediatric patient every genetic metabolic disease is the result of a specific enzyme defect or defects in function or in amount in this review diseases in which defects are known e g homocystinuria suspected e g myotonia congenita and unknown e g cystic fibrosis are discussed therapeutic approaches to genetic metabolic disease include supplying the missing product preventing substrate accumulation preventing alternate product synthesis enzyme induction enzyme replacement increasing deficient function with cofactor administration and compensatory therapy obviously the ideal way to treat the consequences of a genetic disease is to normalize the patient biochemically for diseases where the pathophysiology is clear this goal is approachable for conditions where the pathophysiology is unknown only compensatory therapy is possible
